date,close,volume
2021-07-02,138.16,3415935
2021-07-06,136.78,4429773
2021-07-07,134.87,3813523
2021-07-08,132.53,5266278
2021-07-09,134.9,3512175
2021-07-12,136.8,3245802
2021-07-13,136.29,3017068
2021-07-14,135.65,3900677
2021-07-15,133.2,4386610
2021-07-16,128.18,5431030
2021-07-19,128.62,5737123
2021-07-20,131.97,4643093
2021-07-21,138,4205327
2021-07-22,137.18,3691400
2021-07-23,138.43,2706521
2021-07-26,138.48,2939002
2021-07-27,134.9,4424288
2021-07-28,137.21,2698607
2021-07-29,137.5,3663800
2021-07-30,139.93,5641523
2021-08-02,142.01,6812183
2021-08-03,142.16,3183942
2021-08-04,142.76,3361420
2021-08-05,142.27,2769693
2021-08-06,142.65,2483029
2021-08-09,142,2479580
2021-08-10,138.06,4338556
2021-08-11,134.82,5492209
2021-08-12,129.22,9276735
2021-08-13,129.9,4985354
2021-08-16,131.69,4872642
2021-08-17,128.8,5882031
2021-08-18,127.37,4467195
2021-08-19,129.2,5866819
2021-08-20,127.2,9929858
2021-08-23,131.49,5329410
2021-08-24,131.44,4432002
2021-08-25,132.82,4331757
2021-08-26,132.49,2696278
2021-08-27,136.55,4290273
2021-08-30,136.05,3086307
2021-08-31,135.13,3073885
2021-09-01,133.46,3528588
2021-09-02,134.45,3398385
2021-09-03,135.83,2937472
2021-09-07,136.49,3804801
2021-09-08,133.56,4779899
2021-09-09,135,4011224
2021-09-10,136.84,6373899
2021-09-13,139.44,5845602
2021-09-14,140.14,5281592
2021-09-15,141.23,3540278
2021-09-16,144.09,5807396
2021-09-17,140.8,5357172
2021-09-20,135.53,5074911
2021-09-21,135.18,3678523
2021-09-22,138.1,4009572
2021-09-23,141.11,3671600
2021-09-24,141.92,2315545
2021-09-27,142.74,3312672
2021-09-28,132.89,8010156
2021-09-29,128.27,7256790
2021-09-30,128.73,3954028
2021-10-01,129.13,3442747
2021-10-04,125.2,6222267
2021-10-05,128.07,4306922
2021-10-06,126.52,4579503
2021-10-07,127.88,3376006
2021-10-08,126.22,4106489
2021-10-11,127.5,3681163
2021-10-12,126.76,5206429
2021-10-13,128.21,3145243
2021-10-14,132.07,5081426
2021-10-15,131.59,3005651
2021-10-18,133.28,2412146
2021-10-19,134.6,2338909
2021-10-20,133.98,3038271
2021-10-21,133.34,3551584
2021-10-22,135.93,7259743
2021-10-25,135.76,2488164
2021-10-26,132,5267347
2021-10-27,132.16,4554968
2021-10-28,136.02,3993413
2021-10-29,136.65,3296253
2021-11-01,139.51,3010333
2021-11-02,141.21,2747929
2021-11-03,142.75,2389321
2021-11-04,150.13,6043022
2021-11-05,153.29,5134936
2021-11-08,152.96,3231548
2021-11-09,156.29,4278298
2021-11-10,150.4,4231107
2021-11-11,153.9,3233367
2021-11-12,156.82,3628245
2021-11-15,156.27,3318550
2021-11-16,157.86,2992025
2021-11-17,155.98,3314696
2021-11-18,158.74,4425241
2021-11-19,150.03,11380228
2021-11-22,147.55,5834190
2021-11-23,148.92,4606417
2021-11-24,149.01,3444198
2021-11-26,143.29,4393519
2021-11-29,151.22,4721922
2021-11-30,147.19,4924075
2021-12-01,151.67,9782673
2021-12-02,146.49,6062179
2021-12-03,145.83,4606871
2021-12-06,147.38,4694970
2021-12-07,156.89,6146930
2021-12-08,157.29,4179702
2021-12-09,152.65,3145512
2021-12-10,152.73,2897947
2021-12-13,147.1,3602083
2021-12-14,147.73,2733834
2021-12-15,153.66,4132427
2021-12-16,146.7,3757783
2021-12-17,146.15,3635940
2021-12-20,145.01,2543255
2021-12-21,151.42,3497421
2021-12-22,152.32,2531511
2021-12-23,155.49,2748471
2021-12-27,162.72,4187953
2021-12-28,159.64,3364189
2021-12-29,160.98,2900236
2021-12-30,157.98,2160363
2021-12-31,157.36,1897278
2022-01-03,159.93,3168932
2022-01-04,158.36,4019625
2022-01-05,153.74,3655635
2022-01-06,156.34,3440202
2022-01-07,150.81,3888197
2022-01-10,149.59,5846893
2022-01-11,152.45,4353091
2022-01-12,159.55,6744285
2022-01-13,157.18,8026130
2022-01-14,167,7839313
2022-01-18,152.36,7704772
2022-01-19,143.07,8458049
2022-01-20,139.15,6865293
2022-01-21,135.06,7703756
2022-01-24,139.29,8402820
2022-01-25,132.99,6758482
2022-01-26,135.58,7820624
2022-01-27,130.15,8453416
2022-01-28,132.45,8401887
2022-01-31,138.18,5092811
2022-02-01,138.61,4813084
2022-02-02,140.76,5022493
2022-02-03,136.51,5882458
2022-02-04,135.57,4253373
2022-02-07,136.13,4226286
2022-02-08,138.75,3451182
2022-02-09,144.2,4510807
2022-02-10,139.77,4321642
2022-02-11,132.49,5286633
2022-02-14,131.86,5361031
2022-02-15,139.84,4557755
2022-02-16,140.96,4447576
2022-02-17,136.47,7161818
2022-02-18,133.35,4560909
2022-02-22,130.26,4543848
2022-02-23,127.86,5428584
2022-02-24,133.42,5030880
2022-02-25,135.72,4278212
2022-02-28,134.2,3848316
2022-03-01,129.61,4521343
2022-03-02,133.18,3503354
2022-03-03,130.64,3072542
2022-03-04,125.74,3930017
2022-03-07,119.22,5418130
2022-03-08,124.15,6413020
2022-03-09,128.62,4005626
2022-03-10,124.97,3477348
2022-03-11,123.64,3387427
2022-03-14,120.13,3757231
2022-03-15,124.41,3726573
2022-03-16,130.48,5022934
2022-03-17,131.99,3284598
2022-03-18,135.14,4919593
2022-03-21,134.2,3139868
2022-03-22,135.48,2793333
2022-03-23,131.42,2648441
2022-03-24,138.59,4145832
2022-03-25,137.06,3424278
2022-03-28,137.66,2762132
2022-03-29,141.44,3464154
2022-03-30,135.8,3371412
2022-03-31,131.8,4218021
2022-04-01,127.41,6134664
2022-04-04,129.44,5075625
2022-04-05,121.71,6903195
2022-04-06,119.33,7027591
2022-04-07,122.4,7482393
2022-04-08,119.96,3702216
2022-04-11,116.24,4739923
2022-04-12,114.56,6372581
2022-04-13,116.86,6267067
2022-04-14,113.36,4749646
2022-04-18,114.87,4184998
2022-04-19,117.06,3509333
2022-04-20,117.89,5766081
2022-04-21,115.69,4531878
2022-04-22,112.8,5044099
2022-04-25,114.47,5146063
2022-04-26,108.92,5652203
2022-04-27,108.81,3783660
2022-04-28,114.63,4255011
2022-04-29,110.35,3948270
2022-05-02,112.97,5260757
2022-05-03,113.8,3272532
2022-05-04,118.81,3516572
2022-05-05,113.47,3992688
2022-05-06,112.5,3500108
2022-05-09,105.75,5821832
2022-05-10,107.18,4460305
2022-05-11,103.92,3835804
2022-05-12,106.76,5384629
2022-05-13,111.86,4375075
2022-05-16,110.48,3208513
2022-05-17,116.84,3587034
2022-05-18,111.34,4198780
2022-05-19,110.74,5720292
2022-05-20,106.46,10325314
2022-05-23,109.93,4217602
2022-05-24,106.59,3569864
2022-05-25,108.53,4423200
2022-05-26,115.07,5281827
2022-05-27,119.48,4801849
2022-05-31,117.29,4123863
2022-06-01,114.46,3244521
2022-06-02,117.33,3681597
2022-06-03,114.96,2601953
2022-06-06,115,1899504
2022-06-07,115.67,2512074
2022-06-08,112.46,2808780
2022-06-09,107.24,3331830
2022-06-10,101.88,4727460
2022-06-13,96.32,5628923
2022-06-14,96.62,3825735
2022-06-15,97.42,5567886
2022-06-16,89.59,8119084
2022-06-17,89.83,7493825
2022-06-21,95.17,7281444
2022-06-22,93.94,4209141
2022-06-23,93.28,5449286
2022-06-24,97.36,5996341
2022-06-27,97.61,2968838
2022-06-28,95.02,3683605
2022-06-29,91.94,4954254
2022-06-30,90.98,5128777
2022-07-01,86.27,8717084
2022-07-05,86,5987787
2022-07-06,86.56,3371714
2022-07-07,90.75,4600604
2022-07-08,91.19,2730320
2022-07-11,88.62,2800408
2022-07-12,88.73,3260371
2022-07-13,89.08,3591173
2022-07-14,91.67,5221014
2022-07-15,94.47,5010137
2022-07-18,93.14,3135169
2022-07-19,98.23,4915247
2022-07-20,102.23,5199558
2022-07-21,103.84,3113923
2022-07-22,101.67,2836580
2022-07-25,101,2690121
2022-07-26,98.91,2862420
2022-07-27,103.46,3336546
2022-07-28,105.16,3206917
2022-07-29,105.98,2737437
2022-08-01,106.4,2665590
2022-08-02,104.99,2313089
2022-08-03,109.01,3155135
2022-08-04,111.06,2973634
2022-08-05,109.62,2777928
2022-08-08,107.83,3097589
2022-08-09,99.66,6329384
2022-08-10,105.05,4807987
2022-08-11,105.53,3063070
2022-08-12,110.38,4020216
2022-08-15,109.78,5500321
2022-08-16,108.49,2925102
2022-08-17,106,2776488
2022-08-18,108.27,3997106
2022-08-19,104.63,7868418
2022-08-22,100.81,3286305
2022-08-23,101.93,2762554
2022-08-24,101.48,2314571
2022-08-25,105,5038883
2022-08-26,98.8,3815010
2022-08-29,96.54,3342513
2022-08-30,94.52,6935657
2022-08-31,94.07,4462997
2022-09-01,91.81,6016336
2022-09-02,91.24,3943353
2022-09-06,90.29,3798294
2022-09-07,91.94,3117925
2022-09-08,93.79,2640655
2022-09-09,96.51,2794978
2022-09-12,96.3,3121026
2022-09-13,90.39,4007564
2022-09-14,90.64,3196626
2022-09-15,88.92,4009039
2022-09-16,88.87,4503340
2022-09-19,89.72,2676114
2022-09-20,88.12,2641635
2022-09-21,87.09,4183714
2022-09-22,85.04,4951975
2022-09-23,84.29,4342984
2022-09-26,82.94,3762937
2022-09-27,84.15,3506531
2022-09-28,86,5010173
2022-09-29,84.42,5143216
2022-09-30,81.93,5641009
2022-10-03,86.25,6037096
2022-10-04,89.41,4651596
2022-10-05,89.22,4962519
2022-10-06,88.12,4206882
2022-10-07,82.6,5810493
2022-10-10,79.19,10026393
2022-10-11,76.3,7820312
2022-10-12,76.01,4721747
2022-10-13,79.42,11971386
2022-10-14,74.82,6121298
2022-10-17,74.41,6598120
2022-10-18,75.23,5728301
2022-10-19,77.26,7461403
2022-10-20,78.66,9721258
2022-10-21,82.42,8004148
2022-10-24,84.94,8041162
2022-10-25,87.53,6827953
2022-10-26,88.14,5801759
2022-10-27,86.54,3563090
2022-10-28,89.72,3535064
2022-10-31,88.29,3714791
2022-11-01,89.79,3782270
2022-11-02,87.76,6570986
2022-11-03,86.3,4490556
2022-11-04,91.7,5065428
2022-11-07,95.04,4345035
2022-11-08,97.46,6679738
2022-11-09,94.38,3779215
2022-11-10,104.79,6284260
2022-11-11,110.53,6912303
2022-11-14,107.61,4400725
2022-11-15,110.46,4322058
2022-11-16,104.22,5839125
2022-11-17,104.45,5681980
2022-11-18,104.7,6986430
2022-11-21,105.14,5334853
2022-11-22,107.04,3978778
2022-11-23,107.67,2305886
2022-11-25,105.82,1247362
2022-11-28,103.47,2874358
2022-11-29,103.25,1896062
