date,close,volume
2021-07-02,687.54,212275
2021-07-06,685.87,419588
2021-07-07,690.18,174396
2021-07-08,673.69,378570
2021-07-09,691.36,237053
2021-07-12,707.81,260608
2021-07-13,706.42,259238
2021-07-14,716.51,429213
2021-07-15,703.94,293965
2021-07-16,687.42,241478
2021-07-19,684,379516
2021-07-20,684.05,349806
2021-07-21,721,678867
2021-07-22,729.92,461921
2021-07-23,748.14,530107
2021-07-26,754.09,341837
2021-07-27,745.6,413044
2021-07-28,759.86,314596
2021-07-29,765.71,309341
2021-07-30,766.74,231102
2021-08-02,769.65,229187
2021-08-03,779.53,273129
2021-08-04,795.48,286500
2021-08-05,794.75,338610
2021-08-06,783.28,233301
2021-08-09,788.68,250546
2021-08-10,789.29,287526
2021-08-11,789.22,190001
2021-08-12,781.07,419940
2021-08-13,788.96,229576
2021-08-16,787.35,191425
2021-08-17,776.56,200298
2021-08-18,772.45,214278
2021-08-19,781.51,215801
2021-08-20,788.18,215541
2021-08-23,811.62,304510
2021-08-24,805.61,194739
2021-08-25,807.87,211938
2021-08-26,810.94,219561
2021-08-27,832.92,319104
2021-08-30,839.59,223421
2021-08-31,833.04,254714
2021-09-01,842.17,289455
2021-09-02,861.28,425374
2021-09-03,858.11,339617
2021-09-07,861.77,398455
2021-09-08,857.99,335841
2021-09-09,853.5,367290
2021-09-10,858.87,413381
2021-09-13,871.24,325054
2021-09-14,888.07,537104
2021-09-15,889.33,396771
2021-09-16,887.31,410065
2021-09-17,859.85,664748
2021-09-20,840.74,441103
2021-09-21,854.73,446368
2021-09-22,864.74,307406
2021-09-23,879.78,341130
2021-09-24,868.82,226638
2021-09-27,835.31,477785
2021-09-28,780.17,1084600
2021-09-29,750.42,939826
2021-09-30,745.11,444192
2021-10-01,741.81,545554
2021-10-04,712.94,765381
2021-10-05,732.87,569876
2021-10-06,732.5,421512
2021-10-07,746.82,467928
2021-10-08,730.27,531239
2021-10-11,721.89,370088
2021-10-12,725.05,410928
2021-10-13,744.42,626606
2021-10-14,778.29,737996
2021-10-15,789.4,420609
2021-10-18,788.22,442545
2021-10-19,800.96,425490
2021-10-20,767.7,1023627
2021-10-21,787.56,502392
2021-10-22,800.97,541898
2021-10-25,788.44,373474
2021-10-26,791.23,313880
2021-10-27,801,458527
2021-10-28,813.19,320793
2021-10-29,812.88,267681
2021-11-01,807.45,253547
2021-11-02,812.02,219011
2021-11-03,830.02,228624
2021-11-04,850.49,516073
2021-11-05,847,317266
2021-11-08,849.93,346576
2021-11-09,850.05,321049
2021-11-10,817.85,309822
2021-11-11,833.39,170619
2021-11-12,851.63,246505
2021-11-15,856.72,291308
2021-11-16,860.55,351868
2021-11-17,859.46,250876
2021-11-18,879.12,452611
2021-11-19,857.17,364524
2021-11-22,825.75,398457
2021-11-23,807.48,605404
2021-11-24,802.39,552627
2021-11-26,782.02,307723
2021-11-29,815.01,610018
2021-11-30,791.51,481431
2021-12-01,804,597631
2021-12-02,789.38,414847
2021-12-03,771.52,530313
2021-12-06,756.39,563176
2021-12-07,806.01,419974
2021-12-08,803.92,260208
2021-12-09,772.61,296283
2021-12-10,781.84,248540
