date,close,volume
2021-07-02,57.92,402340
2021-07-06,57.73,617270
2021-07-07,56.8,720990
2021-07-08,56.48,572870
2021-07-09,57.66,659206
2021-07-12,56.76,606255
2021-07-13,56.86,609206
2021-07-14,56.96,424283
2021-07-15,56.49,441316
2021-07-16,55.05,1147190
2021-07-19,54.15,1257262
2021-07-20,54.54,881025
2021-07-21,55.55,890471
2021-07-22,55.42,482637
2021-07-23,56.21,508118
2021-07-26,56.61,526719
2021-07-27,56.45,439645
2021-07-28,56.79,419812
2021-07-29,57.78,437431
2021-07-30,58.14,450629
2021-08-02,57.83,499950
2021-08-03,58.29,456433
2021-08-04,56.95,542380
2021-08-05,56.8,348922
2021-08-06,56.86,271127
2021-08-09,56.86,235842
2021-08-10,56.45,621322
2021-08-11,56.46,634938
2021-08-12,56.11,599052
2021-08-13,55.92,392110
2021-08-16,55.99,562458
2021-08-17,55.4,850536
2021-08-18,54.79,1123774
2021-08-19,54.96,667168
2021-08-20,54.99,1855160
2021-08-23,55.86,2081281
2021-08-24,56.27,1240869
2021-08-25,56.75,633581
2021-08-26,56.72,549909
2021-08-27,57.18,864421
2021-08-30,57.24,605419
2021-08-31,57.13,614055
2021-09-01,56.88,1179423
2021-09-02,58.51,2101642
2021-09-03,56.92,1883684
2021-09-07,55.63,987268
2021-09-08,56.25,1070172
2021-09-09,55.49,680536
2021-09-10,53.91,1013531
2021-09-13,54.32,730530
2021-09-14,52.96,750753
2021-09-15,53.38,919501
2021-09-16,53.78,750862
2021-09-17,53.14,897350
2021-09-20,51.68,861363
2021-09-21,50.84,920586
2021-09-22,50.9,842209
2021-09-23,51.71,690722
2021-09-24,52.02,518224
2021-09-27,52.54,501049
2021-09-28,51.35,566461
2021-09-29,51.32,577763
2021-09-30,51.35,766148
2021-10-01,52.23,737002
2021-10-04,51.73,472053
2021-10-05,51.94,536932
2021-10-06,51.9,602982
2021-10-07,52.81,302864
2021-10-08,52.6,345505
2021-10-11,52.34,286870
2021-10-12,51.9,437374
2021-10-13,52.03,261083
2021-10-14,53.46,315227
2021-10-15,52.25,875384
2021-10-18,52.23,337759
2021-10-19,52.72,288133
2021-10-20,52.95,379589
2021-10-21,53.46,295779
2021-10-22,52.67,435425
2021-10-25,51.75,569622
2021-10-26,52.47,969429
2021-10-27,53.66,636106
2021-10-28,54.34,467531
2021-10-29,54.29,565902
2021-11-01,55.26,675295
2021-11-02,59.16,1817609
2021-11-03,60.2,691798
2021-11-04,60.82,612501
2021-11-05,60.5,825468
2021-11-08,60.16,734199
2021-11-09,60.63,862237
2021-11-10,60.5,636359
2021-11-11,60.86,421596
2021-11-12,61.41,315282
