date,close,volume
2021-07-02,73.19,307187
2021-07-06,74.08,794577
2021-07-07,72.15,1386953
2021-07-08,70.92,650881
2021-07-09,72.4,332489
2021-07-12,71.88,396321
2021-07-13,71.63,556923
2021-07-14,72.52,630659
2021-07-15,70.4,491758
2021-07-16,69.54,746286
2021-07-19,68.44,620126
2021-07-20,70.93,483585
2021-07-21,72.53,563127
2021-07-22,71.17,263513
2021-07-23,71.39,379542
2021-07-26,67.4,1181331
2021-07-27,66.11,1295732
2021-07-28,68.28,732205
2021-07-29,69.51,634895
2021-07-30,69.81,619557
2021-08-02,69.48,558082
2021-08-03,67,1210152
2021-08-04,69.42,1120162
2021-08-05,69.2,542791
2021-08-06,68.36,746058
2021-08-09,67.89,1010452
2021-08-10,64.94,2077542
2021-08-11,64.38,1479403
2021-08-12,63.88,574610
2021-08-13,63.34,512920
2021-08-16,62.23,601633
2021-08-17,61.42,875468
2021-08-18,60.94,758311
2021-08-19,59.94,1147571
2021-08-20,60.42,773137
2021-08-23,61.56,1370762
2021-08-24,62.44,889159
2021-08-25,62.62,483111
2021-08-26,61.02,610997
2021-08-27,63.6,536140
2021-08-30,63.04,509239
2021-08-31,62.98,415976
2021-09-01,62.66,347808
2021-09-02,61.89,572609
2021-09-03,61.49,434800
2021-09-07,61.84,541095
2021-09-08,60.73,624552
2021-09-09,62.27,786375
2021-09-10,61.43,595243
2021-09-13,61.87,668960
2021-09-14,60.94,417904
2021-09-15,61.55,494206
2021-09-16,61.85,429774
2021-09-17,60.46,882707
2021-09-20,59.29,855845
2021-09-21,59.37,467649
2021-09-22,61,616497
2021-09-23,61.33,408460
2021-09-24,61.48,476098
2021-09-27,60.75,511923
2021-09-28,60.35,695079
2021-09-29,59.53,345470
2021-09-30,59.36,429211
2021-10-01,60.59,349828
2021-10-04,55.55,2163258
2021-10-05,55.63,1002337
2021-10-06,54.61,820110
2021-10-07,57.53,1010038
2021-10-08,57.21,472748
2021-10-11,55.29,890126
2021-10-12,55.1,1065606
2021-10-13,55.83,610951
2021-10-14,57.8,401981
2021-10-15,57.56,385536
2021-10-18,57.8,317107
2021-10-19,58.99,667917
2021-10-20,58.68,407718
2021-10-21,59.15,270826
2021-10-22,58.64,725246
2021-10-25,59.07,305111
2021-10-26,58.44,767166
2021-10-27,57.89,412158
2021-10-28,61.18,1346060
2021-10-29,60.51,462286
2021-11-01,63.23,797945
2021-11-02,63.87,619436
2021-11-03,64.08,742789
2021-11-04,63.93,826632
2021-11-05,64.25,667856
2021-11-08,63.64,962504
2021-11-09,64.21,2169594
2021-11-10,64,908841
2021-11-11,65.38,754180
2021-11-12,65.2,512731
2021-11-15,65.35,362307
2021-11-16,65.25,485755
2021-11-17,65.33,405927
2021-11-18,64.98,565116
2021-11-19,64.08,426047
2021-11-22,64.42,920149
2021-11-23,64.18,1340611
2021-11-24,64.37,733906
2021-11-26,62.69,728823
2021-11-29,62.18,998517
2021-11-30,62.53,588541
2021-12-01,60.58,688207
2021-12-02,61.46,718314
2021-12-03,60.98,641881
2021-12-06,62.72,518106
2021-12-07,66.25,844500
2021-12-08,67.02,589853
2021-12-09,66.82,688900
2021-12-10,66.77,657409
2021-12-13,66.57,550282
2021-12-14,64.86,774534
2021-12-15,70.5,1480959
2021-12-16,68.01,843409
2021-12-17,68.16,823767
2021-12-20,66.98,629340
2021-12-21,68.57,607399
2021-12-22,67.79,463796
2021-12-23,67.99,394498
2021-12-27,69.48,447267
2021-12-28,68.22,295681
2021-12-29,69.19,478358
2021-12-30,68.2,308797
2021-12-31,68.33,279049
2022-01-03,71.53,766980
2022-01-04,74.49,1374997
2022-01-05,72.4,757000
2022-01-06,71.72,756024
2022-01-07,71.79,701102
2022-01-10,71.24,729853
2022-01-11,72.68,583785
2022-01-12,71.55,488973
2022-01-13,70.27,599345
2022-01-14,71.05,547532
2022-01-18,68.43,563905
2022-01-19,65.96,994902
2022-01-20,64.14,799225
2022-01-21,63.11,781469
2022-01-24,63.77,959344
2022-01-25,61.47,838108
2022-01-26,60.85,911316
2022-01-27,59.37,1433135
2022-01-28,60.05,1482699
2022-01-31,63.4,713539
2022-02-01,63.66,633890
2022-02-02,64.1,547410
2022-02-03,61.1,1238271
2022-02-04,62.08,632525
2022-02-07,63.05,616115
2022-02-08,64.91,1294054
2022-02-09,68.25,1835501
2022-02-10,68.35,1181122
2022-02-11,66.73,1116238
2022-02-14,67.65,788538
2022-02-15,71.63,749627
2022-02-16,73.78,849925
2022-02-17,73.37,1340536
2022-02-18,71.74,538786
2022-02-22,70.28,473655
2022-02-23,67.81,618327
2022-02-24,70.16,658306
2022-02-25,70.67,591458
2022-02-28,69.46,676248
2022-03-01,68.05,563994
2022-03-02,70.77,540449
2022-03-03,70.19,675787
2022-03-04,65.31,1057828
2022-03-07,62.18,1074660
2022-03-08,63.33,959430
2022-03-09,65.76,619867
2022-03-10,64.23,276287
2022-03-11,65.69,848718
2022-03-14,62.67,655245
2022-03-15,64.71,566018
2022-03-16,67.86,797034
2022-03-17,69.36,462405
2022-03-18,70.79,1031192
2022-03-21,68.94,389364
2022-03-22,71.75,753528
2022-03-23,68.99,382424
2022-03-24,72.39,706848
2022-03-25,73.43,846733
2022-03-28,73.46,469798
2022-03-29,74.48,822830
2022-03-30,73.38,462260
2022-03-31,72.49,338369
2022-04-01,71.88,540621
2022-04-04,70.93,525358
2022-04-05,68.62,615589
2022-04-06,67.93,659687
2022-04-07,66.36,511697
2022-04-08,65.22,398987
2022-04-11,63.64,736314
2022-04-12,63.35,781010
2022-04-13,64.44,466954
2022-04-14,61.98,1183168
2022-04-18,62.19,681695
2022-04-19,63.91,514089
2022-04-20,63.92,451920
2022-04-21,62.97,866448
2022-04-22,62.12,805555
2022-04-25,62.59,636855
2022-04-26,60.22,712374
2022-04-27,60.35,1225093
2022-04-28,62.3,675973
2022-04-29,61.21,696928
2022-05-02,61.76,924101
2022-05-03,62.67,632075
2022-05-04,66.26,1162204
2022-05-05,63.49,1230246
2022-05-06,61.86,1323818
2022-05-09,60.23,1543691
2022-05-10,63.05,1678371
2022-05-11,63.93,1682759
