date,close,volume
2021-07-02,56.76,12269708
2021-07-06,56.09,14145830
2021-07-07,55.96,10551943
2021-07-08,55.39,13573434
2021-07-09,55.99,12656975
2021-07-12,56.73,11155086
2021-07-13,56.87,11970895
2021-07-14,56.52,9785574
2021-07-15,55.81,13813856
2021-07-16,54.97,18062956
2021-07-19,54.64,17811532
2021-07-20,55.24,14235695
2021-07-21,56.23,12395787
2021-07-22,55.96,19182382
2021-07-23,53,58365843
2021-07-26,54.31,22811254
2021-07-27,53.18,29082949
2021-07-28,53.07,21354001
2021-07-29,53.7,12928588
2021-07-30,53.72,11123750
2021-08-02,53.68,12759525
2021-08-03,54.06,11311477
2021-08-04,53.9,12395530
2021-08-05,53.89,10832167
2021-08-06,53.92,11651681
2021-08-09,54.05,11250756
2021-08-10,53.94,12134657
2021-08-11,54.14,10932808
2021-08-12,53.54,11729961
2021-08-13,53.49,12195809
2021-08-16,53.47,11648543
2021-08-17,52.69,16721779
2021-08-18,52.19,10769242
2021-08-19,52.44,16713280
2021-08-20,52.01,20498396
2021-08-23,53.23,16583565
2021-08-24,53.81,13513037
2021-08-25,53.81,11010815
2021-08-26,53.13,13240174
2021-08-27,53.89,11087362
2021-08-30,53.94,10615136
2021-08-31,54.06,12492996
2021-09-01,53.67,13973462
2021-09-02,53.73,10312463
2021-09-03,53.51,9778179
2021-09-07,53.65,10432111
2021-09-08,53.57,14572102
2021-09-09,53.4,10100332
2021-09-10,53.84,15091763
2021-09-13,54.99,16656662
2021-09-14,54.52,13779024
2021-09-15,55.12,11239463
2021-09-16,54.83,13100319
2021-09-17,54.26,18361252
2021-09-20,52.98,20960008
2021-09-21,52.87,12229352
2021-09-22,53.5,11733860
2021-09-23,54.03,11589774
2021-09-24,54.22,8589916
2021-09-27,54.66,9716553
2021-09-28,54,16501446
2021-09-29,53.49,14917588
2021-09-30,53.28,14153527
2021-10-01,53.86,12323273
2021-10-04,53.47,16271483
2021-10-05,53.95,13027119
2021-10-06,53.98,13636912
2021-10-07,54.18,13516906
2021-10-08,53.81,11575011
2021-10-11,53.44,10089955
2021-10-12,52.17,21325439
2021-10-13,52.26,12600342
2021-10-14,53.9,18051457
2021-10-15,54.46,14086845
2021-10-18,54.47,11414334
2021-10-19,55.21,13444200
2021-10-20,55.37,13199482
2021-10-21,56,20275124
2021-10-22,49.46,90017161
2021-10-25,49.41,35544942
2021-10-26,48.28,50678093
2021-10-27,47.89,31959867
2021-10-28,48.08,22931306
2021-10-29,49,33018753
2021-11-01,49.55,21314307
2021-11-02,49.86,20268413
2021-11-03,50.39,16789254
2021-11-04,50.31,17439126
2021-11-05,50.92,23964544
2021-11-08,51.55,22653522
2021-11-09,51.2,15601155
2021-11-10,50.76,17595169
2021-11-11,50.53,19508765
2021-11-12,50.31,15466207
2021-11-15,50.32,17986656
2021-11-16,50.61,20174835
2021-11-17,50.23,17010261
2021-11-18,49.68,23693934
2021-11-19,49.52,18762351
2021-11-22,49.83,24043036
2021-11-23,49.1,29357286
2021-11-24,49.76,18180135
2021-11-26,48.78,18199016
2021-11-29,50,23492132
2021-11-30,49.2,25331265
2021-12-01,48.6,26680829
2021-12-02,49.5,24438097
2021-12-03,49.25,22176568
2021-12-06,50.99,29043597
2021-12-07,52.57,71964227
2021-12-08,51.75,27824974
2021-12-09,50.48,21760511
2021-12-10,50.59,15839879
2021-12-13,50,19408025
2021-12-14,49.7,21930561
2021-12-15,50.67,23138790
2021-12-16,50.83,24121533
2021-12-17,50.62,23746824
2021-12-20,49.6,22297364
2021-12-21,50.77,24360647
2021-12-22,50.97,12225679
2021-12-23,51.31,13476173
2021-12-27,51.94,13496479
2021-12-28,51.76,11940265
2021-12-29,51.83,10729194
2021-12-30,51.74,11950889
2021-12-31,51.5,10221556
2022-01-03,53.21,23486270
2022-01-04,53.14,36286272
2022-01-05,53.87,48077885
2022-01-06,54.01,23312058
2022-01-07,53.44,21339839
2022-01-10,55.21,33124440
2022-01-11,55.91,31310365
2022-01-12,55.74,22826105
2022-01-13,54.94,22333034
2022-01-14,55.7,18238246
2022-01-18,54.76,20924179
2022-01-19,53.62,18547537
2022-01-20,52.04,19837828
2022-01-21,52.04,32455457
2022-01-24,51.94,44063145
2022-01-25,51,31209029
2022-01-26,51.69,38369216
2022-01-27,48.05,71938637
2022-01-28,47.73,49037010
2022-01-31,48.82,29784116
2022-02-01,48.95,24464104
2022-02-02,49.51,26258427
2022-02-03,48.28,28286678
2022-02-04,48.01,23195811
2022-02-07,48.18,17168784
2022-02-08,48.81,16950688
2022-02-09,49.91,21070630
2022-02-10,48.86,22717445
2022-02-11,47.63,25706346
2022-02-14,47.58,20042495
2022-02-15,48.44,25192541
2022-02-16,48.23,20047460
2022-02-17,47.57,21879570
2022-02-18,45.04,59886909
2022-02-22,44.69,43455578
2022-02-23,44.65,29744107
2022-02-24,46.72,55003180
2022-02-25,47.71,31578748
2022-02-28,47.7,26648704
2022-03-01,46.82,40703273
2022-03-02,48.87,38560498
2022-03-03,47.93,27347823
2022-03-04,48.07,29686035
2022-03-07,47.68,31640047
2022-03-08,47.5,34227894
2022-03-09,47.63,26868387
2022-03-10,46.66,22747201
2022-03-11,45.83,18915187
2022-03-14,44.4,23863449
2022-03-15,44.81,25053032
2022-03-16,46.63,27979773
2022-03-17,47.14,20097859
2022-03-18,47.45,23890930
2022-03-21,47.39,20854995
2022-03-22,48.39,20156660
2022-03-23,48.27,30014614
2022-03-24,51.62,41487045
2022-03-25,51.83,25807537
2022-03-28,51.51,17419347
2022-03-29,52.25,19387119
2022-03-30,51.43,16679277
2022-03-31,49.56,30726271
2022-04-01,48.11,38019333
2022-04-04,49.2,15143953
2022-04-05,48.13,18169707
2022-04-06,47.54,21069034
2022-04-07,47.56,17958340
2022-04-08,47.02,15435200
2022-04-11,46.57,22110730
2022-04-12,46.5,20050257
2022-04-13,47.01,15029745
2022-04-14,45.67,26121969
2022-04-18,46.64,19078271
2022-04-19,47.93,22696179
2022-04-20,48.11,16708088
2022-04-21,47.5,20146739
2022-04-22,46.54,18641670
2022-04-25,47.06,27522362
2022-04-26,45.52,22516072
2022-04-27,45.22,21235050
2022-04-28,46.84,26955272
2022-04-29,43.59,53009092
2022-05-02,44.96,34029397
2022-05-03,45.06,30890115
2022-05-04,46.54,35422417
2022-05-05,44.6,38401193
2022-05-06,44.3,31344126
2022-05-09,43.07,31994218
2022-05-10,44.01,32097689
2022-05-11,42.83,28703104
2022-05-12,42.84,31942393
2022-05-13,43.6,21779082
2022-05-16,43.08,18689498
2022-05-17,44.4,20406422
2022-05-18,42.35,24223632
2022-05-19,42.01,22595606
2022-05-20,41.65,33722282
2022-05-23,42,18915451
2022-05-24,41.67,19918617
2022-05-25,42.2,18924781
2022-05-26,43.48,20526737
2022-05-27,44.55,18505277
2022-05-31,44.42,22152821
2022-06-01,44.11,22227415
2022-06-02,44.84,19777205
2022-06-03,43.39,23274126
2022-06-06,43.34,17543163
2022-06-07,43.53,19102165
2022-06-08,41.23,48703596
2022-06-09,40.01,30683835
2022-06-10,39.18,32540068
2022-06-13,37.77,34923517
2022-06-14,37.93,23307072
2022-06-15,38.65,29037713
2022-06-16,37.34,33921720
2022-06-17,36.97,40065696
2022-06-21,37.73,21361125
2022-06-22,37.38,23072148
2022-06-23,37.41,22833108
2022-06-24,38.61,22916656
2022-06-27,38.63,19778747
2022-06-28,37.78,27042540
2022-06-29,37.29,19337791
2022-06-30,37.41,25906067
2022-07-01,36.34,31861542
2022-07-05,36.69,23843993
2022-07-06,36.99,18998961
2022-07-07,38.14,23475493
2022-07-08,37.99,17456340
2022-07-11,37.2,17799383
2022-07-12,37.21,22913263
2022-07-13,37.21,21330827
2022-07-14,37.71,29163699
2022-07-15,38.62,21902578
2022-07-18,38.71,21718845
2022-07-19,40.22,40718233
2022-07-20,40.56,24682613
2022-07-21,40.61,22385593
