date,close,volume
2021-07-02,83.47,274259
2021-07-06,83.72,254538
2021-07-07,82.41,278639
2021-07-08,82.23,268485
2021-07-09,82.67,207982
2021-07-12,82.51,302770
2021-07-13,82.29,287695
2021-07-14,82.63,476585
2021-07-15,81.33,302965
2021-07-16,80.27,188733
2021-07-19,80.64,248051
2021-07-20,81.21,446331
2021-07-21,82.8,245313
2021-07-22,82.47,148713
2021-07-23,82.97,134824
2021-07-26,83.09,175961
2021-07-27,81.09,240889
2021-07-28,83.3,231010
2021-07-29,83.68,227665
2021-07-30,83.99,307874
2021-08-02,83.47,297993
2021-08-03,81.53,410224
2021-08-04,81.66,685265
2021-08-05,80.87,421310
2021-08-06,81.26,671160
2021-08-09,80.65,202679
2021-08-10,79.83,423034
2021-08-11,79.7,374473
2021-08-12,79.11,214270
2021-08-13,78.64,272050
2021-08-16,78.38,374332
2021-08-17,80.24,1291822
2021-08-18,81.67,1152528
2021-08-19,84.96,867376
2021-08-20,84.58,498828
2021-08-23,86.21,671139
2021-08-24,86.75,258387
2021-08-25,86.91,258145
2021-08-26,85.52,165828
2021-08-27,86.96,227609
2021-08-30,87.07,174930
2021-08-31,86.64,161689
2021-09-01,87.45,256795
2021-09-02,88.33,232881
2021-09-03,89.03,272733
2021-09-07,87.99,227751
2021-09-08,88.17,203283
2021-09-09,88.72,301121
2021-09-10,85.82,448738
2021-09-13,87.57,278741
2021-09-14,85.91,235504
2021-09-15,86.5,255667
2021-09-16,86.47,182894
2021-09-17,85.38,402482
2021-09-20,84.79,457997
2021-09-21,84.22,250148
2021-09-22,84.37,188947
2021-09-23,85.48,288776
2021-09-24,86.58,232035
2021-09-27,85.99,174511
2021-09-28,84.49,219827
2021-09-29,83.98,225490
2021-09-30,83.54,230329
2021-10-01,85.37,253136
2021-10-04,82.26,295613
2021-10-05,81.98,220272
2021-10-06,81.85,192458
2021-10-07,84.83,408095
2021-10-08,84.16,111580
2021-10-11,85.54,206797
