date,close,volume
2021-07-02,74.125,1608366
2021-07-06,73.065,2106552
2021-07-07,71.755,2042910
2021-07-08,70.51,1952678
2021-07-09,72.01,1861666
2021-07-12,73.095,1496746
2021-07-13,71.965,1779804
2021-07-14,71.77,2435306
2021-07-15,68.725,3300592
2021-07-16,66.88,2057130
2021-07-19,65.99,5696286
2021-07-20,68.515,3960692
2021-07-21,70.33,1813808
2021-07-22,69.19,2469214
2021-07-23,69.61,1163932
2021-07-26,69.695,1085562
2021-07-27,67.975,2312908
2021-07-28,68.94,1599432
2021-07-29,70.515,1306228
2021-07-30,71.56,2002118
2021-08-02,72.495,4456234
2021-08-03,73.41,2601370
2021-08-04,73.755,3597176
2021-08-05,74.89,1957080
2021-08-06,74.865,1835836
2021-08-09,74.75,1342766
2021-08-10,75.25,1986530
2021-08-11,75.235,1206660
2021-08-12,75.575,4789646
2021-08-13,75.785,1195718
2021-08-16,75.205,1613804
2021-08-17,72.845,1708818
2021-08-18,71.835,1762198
2021-08-19,72.125,2190146
2021-08-20,72.42,2894164
2021-08-23,73.94,2954140
2021-08-24,74.025,1139954
2021-08-25,75.725,2762384
2021-08-26,77.97,3284852
2021-08-27,79.69,2319072
2021-08-30,79.505,1564550
2021-08-31,78.68,1909650
2021-09-01,77.805,1942446
2021-09-02,78.135,2023988
2021-09-03,78.415,994224
2021-09-07,78.015,1140552
2021-09-08,77.145,1188200
2021-09-09,77.985,1633362
2021-09-10,78.74,2194060
2021-09-13,80.35,1932218
2021-09-14,80.325,2132126
2021-09-15,81.095,1410510
2021-09-16,81.555,1815174
2021-09-17,80.55,3246348
2021-09-20,78.255,3025892
2021-09-21,78.645,2727056
2021-09-22,80.745,1303038
2021-09-23,82.585,1425570
2021-09-24,82.65,982728
2021-09-27,83.04,1154294
2021-09-28,79.17,2051424
2021-09-29,76.535,2392396
2021-09-30,76.745,1358742
2021-10-01,76.355,2331144
2021-10-04,73.31,2765012
2021-10-05,74.01,2181466
2021-10-06,73.875,1491348
2021-10-07,74.625,1718572
2021-10-08,73.07,2700318
2021-10-11,71.955,1598316
2021-10-12,70.495,3076376
2021-10-13,70.25,3268502
2021-10-14,72.48,2277754
2021-10-15,72.78,1615651
2021-10-18,73.81,1534427
2021-10-19,74.85,1142468
2021-10-20,74.88,891692
2021-10-21,76.01,895088
2021-10-22,75.2,1203016
2021-10-25,75.8,948258
2021-10-26,73.79,2063415
2021-10-27,72.37,3122990
2021-10-28,74.43,1857637
2021-10-29,74.09,1276273
2021-11-01,76.9,2534367
2021-11-02,78.78,1968820
2021-11-03,79.77,2576820
2021-11-04,82.92,4099242
2021-11-05,85.76,3871692
2021-11-08,84.17,4379730
2021-11-09,82.92,3354185
2021-11-10,80.96,3736232
2021-11-11,83.5,2345990
2021-11-12,83.35,1458115
2021-11-15,83.21,1567985
2021-11-16,84.26,1405029
2021-11-17,82.86,1577531
2021-11-18,83.31,1237142
2021-11-19,82.68,1305145
2021-11-22,82.69,2072642
2021-11-23,83.31,2605445
2021-11-24,83.91,1144234
2021-11-26,80.07,1753072
2021-11-29,84.4,2290626
2021-11-30,83.43,2617871
2021-12-01,84.47,3601627
2021-12-02,84.24,2302362
2021-12-03,85.27,3235721
2021-12-06,83.95,2767132
2021-12-07,88.89,2042572
2021-12-08,87.34,2207927
2021-12-09,86.63,2748808
2021-12-10,87.13,1729285
2021-12-13,85.16,1264613
2021-12-14,84.89,1965576
2021-12-15,87.94,2406677
2021-12-16,84.53,2429143
2021-12-17,84.36,2832367
2021-12-20,82.6,1478387
2021-12-21,85.34,2481737
2021-12-22,86.37,1349560
2021-12-23,86.93,885593
2021-12-27,89.35,1111040
2021-12-28,88.03,834831
2021-12-29,88.24,818833
2021-12-30,87.08,947397
2021-12-31,87.06,736437
2022-01-03,88,1418423
2022-01-04,87.47,1811890
2022-01-05,84.52,1982847
2022-01-06,85.3,1575510
2022-01-07,81.93,2194594
2022-01-10,82.93,2002243
2022-01-11,84.61,1791581
2022-01-12,85.23,1578219
2022-01-13,83.69,2105256
2022-01-14,84.29,2473928
2022-01-18,79.33,2698096
2022-01-19,76.66,2360149
2022-01-20,73.97,2524151
2022-01-21,73.33,2671478
2022-01-24,74.85,3357453
2022-01-25,72.54,2593870
2022-01-26,74.39,3384715
2022-01-27,71.04,3015586
2022-01-28,72.22,2597581
2022-01-31,77.48,3510981
2022-02-01,78.29,2214902
2022-02-02,79.04,2510033
2022-02-03,74.17,3519593
2022-02-04,73.18,4923800
2022-02-07,73.65,3017023
2022-02-08,75.44,3021473
2022-02-09,78.43,3572763
2022-02-10,74.93,2949244
2022-02-11,71.33,2781654
2022-02-14,71.19,2115300
2022-02-15,74.98,1913720
2022-02-16,75.5,1847256
2022-02-17,71.17,2597973
2022-02-18,71.78,2318169
2022-02-22,71.79,2333373
2022-02-23,70.3,2309367
2022-02-24,71.26,6925527
2022-02-25,72.15,4899046
2022-02-28,70.33,4309028
2022-03-01,67.9,4457113
2022-03-02,69.74,4381325
2022-03-03,69.04,2388781
2022-03-04,67.76,2441729
2022-03-07,65.14,3372198
2022-03-08,68.53,4455847
