date,close,volume
2021-07-02,57.42,4087492
2021-07-06,57.5,3592375
2021-07-07,56.68,4031435
2021-07-08,56.27,4173997
2021-07-09,57,3231863
2021-07-12,57.33,3072956
2021-07-13,56.77,3246471
2021-07-14,56.01,2962235
2021-07-15,55.7,4816168
2021-07-16,53.97,4566223
2021-07-19,54.8,5413957
2021-07-20,56.56,5036437
2021-07-21,58.33,3892565
2021-07-22,57.98,1874864
2021-07-23,58.92,3176910
2021-07-26,58.95,2172384
2021-07-27,57.98,4162042
2021-07-28,58.99,3515061
2021-07-29,60.31,3833428
2021-07-30,60.51,3048968
2021-08-02,60.57,3021657
2021-08-03,61.34,4489483
2021-08-04,61.89,6465911
2021-08-05,61.05,4279268
2021-08-06,60.54,2633784
2021-08-09,60.48,1780033
2021-08-10,59.75,2761065
2021-08-11,59.79,2942052
2021-08-12,59.86,5000883
2021-08-13,60.39,2168882
2021-08-16,59.16,3705501
2021-08-17,58.52,4214032
2021-08-18,57.84,2624608
2021-08-19,58.98,3341252
2021-08-20,59.85,2997741
2021-08-23,62,5002917
2021-08-24,62.55,4042357
2021-08-25,63.2,4035178
2021-08-26,63.24,4681576
2021-08-27,61.34,11247600
2021-08-30,61.96,4792875
2021-08-31,61.19,2748636
2021-09-01,60.72,3547854
2021-09-02,61.32,1787910
2021-09-03,61.51,1592264
2021-09-07,61.24,1834420
2021-09-08,60.37,2121373
2021-09-09,61.25,2250205
2021-09-10,61.17,3022669
2021-09-13,62.38,3775920
2021-09-14,62.3,2064390
2021-09-15,62.46,2771207
2021-09-16,63.25,2797154
2021-09-17,62.1,4772799
2021-09-20,60.68,4610806
2021-09-21,61.03,1675746
2021-09-22,62.67,2427727
2021-09-23,63.44,3183541
2021-09-24,63.61,1664249
2021-09-27,63.07,2922875
2021-09-28,60.75,4440175
2021-09-29,60.15,2821704
2021-09-30,60.31,2754145
2021-10-01,59.83,4434167
2021-10-04,57.59,4651975
2021-10-05,59.39,4589179
2021-10-06,63.75,12757132
2021-10-07,65.15,11795721
2021-10-08,64.62,4082110
2021-10-11,63.44,2845582
2021-10-12,63.59,4288928
2021-10-13,63.42,4887538
2021-10-14,65.29,6084757
2021-10-15,65.65,3795655
2021-10-18,67.17,3840045
2021-10-19,67.85,5264973
2021-10-20,67.19,2632661
2021-10-21,67.07,3621456
2021-10-22,66.31,2824835
2021-10-25,67.67,3130168
2021-10-26,67.73,4363635
2021-10-27,67.7,3271334
2021-10-28,68.48,1954393
2021-10-29,68.5,3427396
2021-11-01,68.96,3985996
2021-11-02,69.91,4691996
2021-11-03,69.25,2073851
2021-11-04,71.54,5873984
2021-11-05,71.86,3815159
2021-11-08,73,4298894
2021-11-09,72.94,3260180
2021-11-10,70.97,3902118
2021-11-11,73.42,3263908
2021-11-12,73.48,3661350
2021-11-15,72.92,2649435
2021-11-16,73.82,2856845
2021-11-17,73.64,2323863
2021-11-18,75.15,3734448
2021-11-19,74.58,3416256
2021-11-22,72.75,5088050
2021-11-23,73.22,3743611
2021-11-24,73.86,2398152
2021-11-26,71.99,2613583
2021-11-29,75.02,5039424
2021-11-30,71.17,6502463
2021-12-01,70.95,5251024
2021-12-02,71.03,6034527
2021-12-03,83.59,41006528
2021-12-06,85.43,11926371
2021-12-07,91.51,16025271
2021-12-08,91.29,10177789
2021-12-09,90.03,8034152
2021-12-10,89.02,5904803
2021-12-13,86.59,4367068
2021-12-14,85.29,5216975
