date,close,volume
2021-07-02,80.33,18820034
2021-07-06,81.08,16924654
2021-07-07,78.22,18293920
2021-07-08,77.11,17925624
2021-07-09,78.74,11942236
2021-07-12,79.56,10199213
2021-07-13,78.45,11405047
2021-07-14,78.49,11014171
2021-07-15,76.92,12687753
2021-07-16,75.01,14127616
2021-07-19,74.58,17346847
2021-07-20,75.39,11474625
2021-07-21,77.19,12882108
2021-07-22,75.53,15711765
2021-07-23,75.94,8918250
2021-07-26,76.3,9895643
2021-07-27,74.22,19651851
2021-07-28,75.55,10971445
2021-07-29,77.08,11901164
2021-07-30,77.58,9787154
2021-08-02,77.64,12043361
2021-08-03,80.86,21177559
2021-08-04,81.98,23631199
2021-08-05,81.49,11879311
2021-08-06,82,10827025
2021-08-09,80.21,10575076
2021-08-10,75.91,34726708
2021-08-11,75.03,26494365
2021-08-12,70.25,61687786
2021-08-13,70.92,21174151
2021-08-16,70.93,15037406
2021-08-17,70.78,14148804
2021-08-18,70.62,11279969
2021-08-19,70.28,15063322
2021-08-20,70.23,10537312
2021-08-23,71.74,18050270
2021-08-24,71.98,15179758
2021-08-25,74.04,31019032
2021-08-26,72.77,15104431
2021-08-27,74,12058765
2021-08-30,73.16,10213444
2021-08-31,73.7,10590274
2021-09-01,73.72,10862525
2021-09-02,73.99,11356447
2021-09-03,73.81,7225321
2021-09-07,73.64,8300510
2021-09-08,72.27,14144657
2021-09-09,72.87,10296562
2021-09-10,73.5,14403330
2021-09-13,74.35,11988905
2021-09-14,73.49,11003438
2021-09-15,73.82,11359392
2021-09-16,74.63,10361775
2021-09-17,74.3,11555954
2021-09-20,72.37,14021291
2021-09-21,72.14,9429024
2021-09-22,73.97,11326772
2021-09-23,74.04,12433977
2021-09-24,74.05,9892327
2021-09-27,75.18,14996317
2021-09-28,73.1,18241166
2021-09-29,71.64,30896629
2021-09-30,70.98,12641270
2021-10-01,70.99,12435163
2021-10-04,70.62,12389084
2021-10-05,70.5,11362573
2021-10-06,69.94,14271004
2021-10-07,70.54,11100456
2021-10-08,70.12,10726872
2021-10-11,69.22,10173836
2021-10-12,66.72,30754121
2021-10-13,66.38,13435529
2021-10-14,67.8,12367945
2021-10-15,67.68,8838052
2021-10-18,67.26,8723192
2021-10-19,67.57,12742225
2021-10-20,68.27,15813996
2021-10-21,68.64,8631526
2021-10-22,67.51,13775580
2021-10-25,68.76,18110781
2021-10-26,68.94,11763041
2021-10-27,68.24,10403566
2021-10-28,69.58,11669149
2021-10-29,69.1,7949918
2021-11-01,70.7,9227745
2021-11-02,70.76,7408772
2021-11-03,71.25,7483017
2021-11-04,72.24,9813731
2021-11-05,72.92,9549646
2021-11-08,74.56,14198567
2021-11-09,75.59,15516788
2021-11-10,73.41,10734750
2021-11-11,74.55,9083631
2021-11-12,77.3,20877814
2021-11-15,76.78,8989429
2021-11-16,76.81,9021794
2021-11-17,75.46,8460859
2021-11-18,77.02,12826583
2021-11-19,83.03,39100295
2021-11-22,83.86,26751242
2021-11-23,85.41,24636987
2021-11-24,86.21,16937861
2021-11-26,83.42,12407583
2021-11-29,86.14,13960600
2021-11-30,84,16165843
2021-12-01,85.15,23948637
2021-12-02,82.88,17189403
2021-12-03,81.62,13390552
2021-12-06,82.45,10626022
2021-12-07,85.83,14355462
2021-12-08,86.02,9066339
2021-12-09,84.93,8277284
2021-12-10,85.54,7636886
2021-12-13,84.35,9166207
2021-12-14,83.29,8121913
2021-12-15,85.66,10057701
2021-12-16,82.69,11870049
2021-12-17,83,13329301
2021-12-20,82.03,12771109
2021-12-21,90.68,44680560
2021-12-22,90.34,13865785
2021-12-23,94.42,27436510
2021-12-27,94.43,12486707
2021-12-28,92.94,10730795
2021-12-29,96.17,26263048
2021-12-30,93.89,13793248
2021-12-31,93.15,7603864
2022-01-03,95.75,12996704
2022-01-04,96.34,14398084
2022-01-05,94.4,20615886
2022-01-06,95.65,14234708
2022-01-07,94.45,10075034
2022-01-10,93.89,13696220
2022-01-11,94.2,10001624
2022-01-12,95.11,9372884
2022-01-13,95.62,17881156
2022-01-14,97.36,13397771
2022-01-18,92.87,14380677
2022-01-19,90,13458997
2022-01-20,85.07,18719712
2022-01-21,81.93,21931882
2022-01-24,82.95,19130863
2022-01-25,80.72,14773380
2022-01-26,81.97,15475251
2022-01-27,78.72,15930253
2022-01-28,79.27,17779562
2022-01-31,82.27,13936390
2022-02-01,81.45,10597838
2022-02-02,84.51,14205871
2022-02-03,81.97,12329523
2022-02-04,81.17,11599516
2022-02-07,80.87,7345178
2022-02-08,84.12,13271588
2022-02-09,88.12,16554036
2022-02-10,91.02,23939977
2022-02-11,89.76,24437171
2022-02-14,89.86,18182948
2022-02-15,96,20798982
2022-02-16,96.06,11701783
2022-02-17,93.73,12673599
2022-02-18,90.8,13800246
2022-02-22,90.57,18178555
2022-02-23,87.31,13319078
2022-02-24,88.83,16462654
2022-02-25,90.1,10986679
2022-02-28,88.86,12588381
2022-03-01,86.26,13480252
2022-03-02,93.3,21937450
2022-03-03,89.18,16659749
2022-03-04,81.91,21645162
2022-03-07,75.7,18296328
2022-03-08,77.16,20896886
2022-03-09,79.44,15050744
2022-03-10,75.72,16376734
2022-03-11,72.82,17426424
2022-03-14,69.4,19030909
2022-03-15,73.11,16529104
2022-03-16,79.67,26611401
2022-03-17,80.52,16695430
2022-03-18,79.41,20113412
2022-03-21,78.35,22149765
2022-03-22,79.12,12575596
2022-03-23,75.65,22343154
2022-03-24,78.21,16722842
2022-03-25,78.1,18218031
2022-03-28,79.86,19893851
2022-03-29,82.05,28244025
2022-03-30,79.16,58063870
2022-03-31,77.89,27882253
2022-04-01,76.18,27386605
2022-04-04,77.67,18053704
2022-04-05,74.61,16463622
2022-04-06,73.78,22637478
2022-04-07,73.28,16057966
2022-04-08,72.14,16033008
2022-04-11,72.03,15995035
2022-04-12,71.96,14482554
2022-04-13,72.38,14866389
2022-04-14,70.13,13939901
2022-04-18,71.15,14534475
2022-04-19,72.73,10657823
2022-04-20,73.2,14185030
2022-04-21,70.92,13953857
2022-04-22,69.41,13666399
2022-04-25,70.12,14833668
2022-04-26,67.08,13122172
2022-04-27,66.47,12915919
2022-04-28,70.18,14359278
2022-04-29,68.19,11383511
2022-05-02,70.6,10914880
2022-05-03,71.26,9956174
2022-05-04,73.62,12079017
2022-05-05,71.29,10999524
2022-05-06,70.35,10492667
2022-05-09,67.93,14795555
2022-05-10,68.91,12059387
2022-05-11,66.96,12387072
2022-05-12,67.71,20085867
2022-05-13,71.92,16370883
2022-05-16,70.47,10183475
2022-05-17,74.48,12715097
2022-05-18,71.05,15284521
2022-05-19,69.4,13249015
2022-05-20,68.9,14487541
2022-05-23,69.59,8192430
2022-05-24,66.62,14069305
2022-05-25,67.87,10986806
2022-05-26,70.6,10786594
2022-05-27,73.32,9382508
2022-05-31,73.84,9481631
2022-06-01,73.55,10084897
2022-06-02,75.37,8017678
2022-06-03,69.94,23728647
2022-06-06,70.45,10512580
2022-06-07,70.76,10514347
2022-06-08,68.6,12602388
2022-06-09,66.02,11126370
2022-06-10,62.62,20653005
2022-06-13,58.84,17622896
2022-06-14,58.7,12330672
2022-06-15,59.12,15072548
2022-06-16,55.01,16848511
2022-06-17,55.75,16027471
2022-06-21,56.8,11213897
2022-06-22,56.34,10028224
2022-06-23,56.22,8786614
2022-06-24,58.44,10341498
2022-06-27,58.78,10555240
2022-06-28,57.86,13432088
2022-06-29,56.02,13138792
2022-06-30,55.28,16730267
2022-07-01,53.65,35446587
2022-07-05,56.73,26144575
2022-07-06,57.37,16935092
2022-07-07,58.85,17982670
2022-07-08,59.14,15219249
2022-07-11,57.81,9584736
2022-07-12,59.18,16299361
2022-07-13,58.86,10716613
2022-07-14,59.35,11288993
2022-07-15,61.53,14705775
2022-07-18,60.45,10048799
2022-07-19,62.4,13546643
2022-07-20,63.3,11447857
2022-07-21,63.64,9245776
2022-07-22,61.29,16628321
2022-07-25,60.15,10530437
2022-07-26,59.66,8080511
2022-07-27,61.89,9929163
2022-07-28,62.07,7448583
2022-07-29,61.86,9883837
2022-08-01,62.54,9959981
2022-08-02,62.47,8726574
2022-08-03,64.25,7976037
2022-08-04,64.85,8105168
2022-08-05,62.46,10583104
2022-08-08,61.45,8078829
2022-08-09,59.15,24703310
2022-08-10,61.4,12182860
2022-08-11,62.32,13313466
2022-08-12,65.04,11844541
2022-08-15,64.7,7278755
2022-08-16,63.86,6973032
2022-08-17,61.62,10907705
2022-08-18,62.98,8010032
2022-08-19,60.51,9270372
2022-08-22,58.31,9072561
2022-08-23,57.86,9864877
2022-08-24,58.31,6276690
2022-08-25,61.2,8352174
2022-08-26,57.63,10112882
2022-08-29,57.01,8401393
2022-08-30,56.3,8613263
2022-08-31,56.53,8804702
2022-09-01,57.31,13020829
2022-09-02,56.33,9111565
2022-09-06,55.23,8942830
2022-09-07,55,12831487
2022-09-08,55.39,13697229
2022-09-09,57.44,9323214
2022-09-12,57.94,7349043
2022-09-13,53.62,14608462
2022-09-14,53.11,14017625
2022-09-15,52.69,10456531
2022-09-16,52.85,13160830
2022-09-19,52.1,14159222
