date,close,volume
2021-07-02,202.73,632505
2021-07-06,201.74,1016926
2021-07-07,198.35,1197503
2021-07-08,195.99,1056897
2021-07-09,200.35,760753
2021-07-12,204.41,1360927
2021-07-13,204,1007307
2021-07-14,203.55,924466
2021-07-15,194.41,2363956
2021-07-16,190.11,1315957
2021-07-19,188.62,1444321
2021-07-20,193.31,909296
2021-07-21,198.62,929587
2021-07-22,194.31,1176015
2021-07-23,196.35,961117
2021-07-26,198.16,665783
2021-07-27,194.25,1171737
2021-07-28,198.58,882065
2021-07-29,204.27,1003157
2021-07-30,206.39,923032
2021-08-02,208.98,2047863
2021-08-03,210.53,1265511
2021-08-04,212.43,898371
2021-08-05,212.9,1127766
2021-08-06,213.75,737919
2021-08-09,217.11,1285490
2021-08-10,217.26,857437
2021-08-11,218.42,851946
2021-08-12,214.53,1327959
2021-08-13,215.26,857026
2021-08-16,213.18,966063
2021-08-17,206.5,1379271
2021-08-18,203.82,885631
2021-08-19,203.02,1592494
2021-08-20,205,660926
2021-08-23,210.63,983294
2021-08-24,214.52,985764
2021-08-25,217.79,1093583
2021-08-26,222.24,1433003
2021-08-27,226.51,1015743
2021-08-30,227.64,577303
2021-08-31,215.13,3404980
2021-09-01,211.5,1679088
2021-09-02,211.91,1177238
2021-09-03,212.99,1025751
2021-09-07,212.86,962524
2021-09-08,208.12,916642
2021-09-09,210.46,1492127
2021-09-10,212.12,1028490
2021-09-13,214.77,730273
2021-09-14,211.48,701096
2021-09-15,212.34,738134
2021-09-16,213.03,651940
2021-09-17,209.33,1075036
2021-09-20,202.78,1566078
2021-09-21,206.06,808715
2021-09-22,213.08,890531
2021-09-23,216.35,678869
2021-09-24,216.67,561796
2021-09-27,216.69,528325
2021-09-28,206.19,986322
2021-09-29,198.75,1051483
2021-09-30,195.87,1191994
2021-10-01,192.89,2104818
2021-10-04,188.95,1407471
2021-10-05,191.63,1092002
2021-10-06,190.9,977664
2021-10-07,193.85,790109
2021-10-08,190.31,757703
2021-10-11,185.94,1233639
2021-10-12,183.19,1752679
2021-10-13,183.1,1732957
2021-10-14,189.1,1542745
2021-10-15,189.81,979187
2021-10-18,192.26,874550
2021-10-19,196.95,1181117
2021-10-20,197.52,1225070
2021-10-21,201.25,915115
2021-10-22,199.93,858374
2021-10-25,200.29,692125
2021-10-26,196.15,1561255
2021-10-27,192.41,1749661
2021-10-28,199.9,1095603
2021-10-29,200.86,794263
2021-11-01,205.13,1853838
2021-11-02,206.56,1784232
2021-11-03,215.78,2029426
2021-11-04,219.26,1022391
2021-11-05,224.25,1872866
2021-11-08,223.08,2314061
2021-11-09,221.05,841385
2021-11-10,214.22,1223667
2021-11-11,219.1,2606476
2021-11-12,217.82,1636019
2021-11-15,215.68,901785
2021-11-16,219.26,741483
2021-11-17,217.81,666636
2021-11-18,220.58,1451172
2021-11-19,221.26,1223776
2021-11-22,221.87,1545929
2021-11-23,219.12,908073
2021-11-24,221.03,773446
2021-11-26,212.45,950400
2021-11-29,223.94,1046941
2021-11-30,223.36,1606412
2021-12-01,223,1867483
2021-12-02,222.73,1003139
2021-12-03,227.12,1498479
2021-12-06,224.28,1077401
2021-12-07,238.9,1596393
2021-12-08,228.09,2415760
2021-12-09,225.16,994697
2021-12-10,226.46,854259
2021-12-13,221.79,902348
2021-12-14,219.99,870705
2021-12-15,229.38,1141990
2021-12-16,217.95,1289632
2021-12-17,218.71,1195738
2021-12-20,217.65,592902
2021-12-21,224.37,533972
2021-12-22,226.76,410391
2021-12-23,227.35,355466
2021-12-27,232.78,447372
2021-12-28,231.02,549588
2021-12-29,230.52,531216
2021-12-30,228.6,419042
2021-12-31,227.78,381880
2022-01-03,231.22,675184
2022-01-04,232.87,988279
2022-01-05,224.57,936690
2022-01-06,226.96,799622
2022-01-07,221.33,825826
2022-01-10,221.83,744009
2022-01-11,227.54,742341
2022-01-12,229.02,569580
2022-01-13,221.86,1633765
2022-01-14,225.29,858473
2022-01-18,217.42,924126
2022-01-19,210.95,945875
2022-01-20,199.61,1505432
2022-01-21,199.95,2142277
2022-01-24,203.07,1841253
2022-01-25,194.77,2099171
2022-01-26,196.96,1641640
2022-01-27,187.96,1979432
2022-01-28,189.45,2750738
2022-01-31,205.44,3071534
2022-02-01,208.2,2272499
2022-02-02,210.35,1304163
2022-02-03,198.34,1872349
2022-02-04,198.12,1745036
2022-02-07,196.92,1204448
2022-02-08,202.53,1082579
2022-02-09,209.76,1623358
2022-02-10,199.05,1166309
2022-02-11,186.74,1915491
2022-02-14,185.88,1101334
2022-02-15,196.62,1374228
2022-02-16,199.66,1031684
2022-02-17,187.61,1451976
2022-02-18,187.09,1275584
2022-02-22,187.24,1214790
2022-02-23,185.15,1434605
2022-02-24,191.42,1617096
2022-02-25,194.2,981150
2022-02-28,190.12,1243857
2022-03-01,181.18,1421587
2022-03-02,188.35,1660577
2022-03-03,184.7,1113110
2022-03-04,176.45,1851125
2022-03-07,169.72,1530463
2022-03-08,176.9,1923897
2022-03-09,183.35,1313247
2022-03-10,180.5,723800
2022-03-11,178.56,889849
2022-03-14,171.71,1215550
2022-03-15,178.44,836605
2022-03-16,188.32,1346488
2022-03-17,189.77,707954
2022-03-18,192.42,1186660
2022-03-21,190.51,789039
2022-03-22,187.75,1459406
2022-03-23,183.59,818851
2022-03-24,191.08,898132
2022-03-25,190.46,713729
2022-03-28,189.42,1054868
2022-03-29,194.74,986161
2022-03-30,187.33,736743
2022-03-31,185.08,1124738
2022-04-01,182.02,1180815
2022-04-04,182.61,765722
2022-04-05,175.07,2211637
2022-04-06,174.02,1925216
2022-04-07,172.92,829753
2022-04-08,167.5,3965884
2022-04-11,165.52,1891131
2022-04-12,166.23,1704322
2022-04-13,171.03,1483534
2022-04-14,170,1353208
2022-04-18,173.25,1042856
2022-04-19,178.65,1483317
2022-04-20,178.79,1423419
2022-04-21,174.85,1055283
2022-04-22,170.75,956844
2022-04-25,172.84,1273067
2022-04-26,167.75,1485283
2022-04-27,170.76,1769410
2022-04-28,177.25,1443333
2022-04-29,170.9,1198068
2022-05-02,177,1359754
2022-05-03,178.07,1810339
2022-05-04,185.92,1742307
2022-05-05,178.37,1759159
2022-05-06,177.58,1250942
2022-05-09,172.9,1676892
2022-05-10,178.44,1587753
2022-05-11,170.87,2116287
2022-05-12,173.66,1356676
2022-05-13,181.99,1489236
2022-05-16,176.99,978704
2022-05-17,185.64,1554052
2022-05-18,175.39,1024550
2022-05-19,175.79,748401
2022-05-20,180.11,1353482
2022-05-23,180.69,1004419
2022-05-24,179.12,765883
2022-05-25,184.63,1150794
2022-05-26,192.63,1439696
2022-05-27,195.93,1537135
2022-05-31,189.76,1800951
2022-06-01,184.57,1152016
2022-06-02,187.94,1213366
2022-06-03,182.37,1090541
2022-06-06,180.01,1738437
2022-06-07,181.83,1071810
2022-06-08,177.07,1080013
2022-06-09,184.22,7116586
2022-06-10,178.57,1519662
2022-06-13,168.52,1855243
2022-06-14,168.29,893360
2022-06-15,168.94,1117195
2022-06-16,158.32,1923379
2022-06-17,157.83,1735204
2022-06-21,159.09,1253611
2022-06-22,156.95,1381780
2022-06-23,153.51,1808636
2022-06-24,159.32,2205563
2022-06-27,158.86,1164117
2022-06-28,154.22,1394870
2022-06-29,150.02,1727129
2022-06-30,148.03,2517890
2022-07-01,146.09,1311756
2022-07-05,145.91,1685347
2022-07-06,145.75,1164450
2022-07-07,152.02,1106544
2022-07-08,154.28,829601
2022-07-11,151.96,1008520
2022-07-12,152.24,923380
2022-07-13,155.01,1313114
2022-07-14,159.82,1215649
2022-07-15,163.98,1295430
2022-07-18,161.92,1048555
2022-07-19,170.43,974939
2022-07-20,176.48,1174340
2022-07-21,179.95,1031576
2022-07-22,175.14,1210485
2022-07-25,174.13,1493778
2022-07-26,174.46,2127512
2022-07-27,181.42,1470506
2022-07-28,183.12,1234129
2022-07-29,183.88,1312427
2022-08-01,184.5,998191
2022-08-02,180.47,1582886
2022-08-03,185.55,1053502
2022-08-04,184.26,798112
2022-08-05,181.66,1121943
2022-08-08,179.96,754521
2022-08-09,171.04,1451225
2022-08-10,179.97,1090055
2022-08-11,180.38,598036
2022-08-12,187.47,837397
2022-08-15,187.57,656953
2022-08-16,185.85,467882
2022-08-17,180.22,843494
2022-08-18,182.76,806189
2022-08-19,180.33,683953
2022-08-22,172.52,850869
2022-08-23,173.94,447793
2022-08-24,173.01,563861
2022-08-25,179.02,678201
2022-08-26,168.12,857857
2022-08-29,165.88,480604
2022-08-30,165.72,906106
2022-08-31,164.58,862955
2022-09-01,164.4,961778
2022-09-02,162.39,717611
2022-09-06,160.75,939677
2022-09-07,163.32,692866
2022-09-08,165.45,615076
2022-09-09,168.14,680756
2022-09-12,169.07,534664
2022-09-13,155.46,1529418
2022-09-14,159.45,1709677
2022-09-15,159.68,1071035
2022-09-16,159.94,1047973
2022-09-19,163.1,769407
2022-09-20,160.9,598053
2022-09-21,159.17,705132
2022-09-22,155.13,909323
2022-09-23,152.94,1363545
2022-09-26,151.95,1038317
2022-09-27,153.51,787188
2022-09-28,156.44,1058215
2022-09-29,151.01,1260721
2022-09-30,147.51,967826
2022-10-03,151.96,960488
2022-10-04,159.89,1031561
2022-10-05,161.24,1097140
2022-10-06,158.99,746143
2022-10-07,151.75,978909
2022-10-10,147.5,815795
2022-10-11,143.75,1489581
2022-10-12,140.28,1128040
2022-10-13,143.17,1651865
2022-10-14,138.09,1392653
2022-10-17,141.27,857029
2022-10-18,140.95,1182861
2022-10-19,141.32,1223828
2022-10-20,139.04,1537508
2022-10-21,145.25,1392011
2022-10-24,144.94,1015372
2022-10-25,148.74,1393679
2022-10-26,147.28,976150
2022-10-27,145.12,1037860
2022-10-28,151.66,1076157
2022-10-31,146.08,1548850
2022-11-01,151.85,2612356
2022-11-02,148.61,1529226
2022-11-03,144.85,1248384
2022-11-04,151.06,1127798
2022-11-07,157.9,1287990
2022-11-08,163.11,1316882
2022-11-09,154.72,1276547
2022-11-10,165.47,2107175
2022-11-11,169.94,1218866
2022-11-14,169.01,864064
2022-11-15,174.81,906813
2022-11-16,166.88,868103
2022-11-17,170.09,685029
2022-11-18,171.94,586930
2022-11-21,168.85,556030
2022-11-22,173.41,706405
2022-11-23,175.2,753682
2022-11-25,172.69,310427
2022-11-28,164.1,1265299
2022-11-29,164.69,596623
2022-11-30,175.84,1240541
2022-12-01,173.44,913519
2022-12-02,171.06,818920
2022-12-05,168.37,471484
2022-12-06,163.08,913883
2022-12-07,163.95,599386
2022-12-08,171.47,1129891
2022-12-09,169.72,778952
2022-12-12,173.07,751077
2022-12-13,174.31,1296115
2022-12-14,171.57,732636
2022-12-15,165.16,822737
2022-12-16,163.72,1103113
2022-12-19,160.27,627945
2022-12-20,159.51,414298
2022-12-21,163.43,625680
2022-12-22,157.51,1038699
2022-12-23,157.67,484995
2022-12-27,153.78,594450
2022-12-28,151.7,664014
2022-12-29,158.12,810313
2022-12-30,158.03,388188
