date,close,volume
2021-07-02,142.58,3189718
2021-07-06,141.19,3577312
2021-07-07,139.97,2438240
2021-07-08,138.29,4430763
2021-07-09,141.43,3824135
2021-07-12,142.47,3983664
2021-07-13,141.18,3863356
2021-07-14,143.75,7494999
2021-07-15,141.46,3494761
2021-07-16,139.71,3226077
2021-07-19,138.79,5133338
2021-07-20,139.55,3183224
2021-07-21,142.17,3312369
2021-07-22,142.44,2175945
2021-07-23,144.88,4051133
2021-07-26,143.5,3553665
2021-07-27,140.93,4864447
2021-07-28,142.44,5052633
2021-07-29,150.99,14080947
2021-07-30,149.8,5697796
2021-08-02,148.86,7653737
2021-08-03,147.95,4019297
2021-08-04,148.22,3588502
2021-08-05,146.83,4940451
2021-08-06,146.28,3427049
2021-08-09,146.92,2809401
2021-08-10,145.87,2645267
2021-08-11,146.68,3133054
2021-08-12,147.15,3686856
2021-08-13,148.64,3839961
2021-08-16,148.13,2894156
2021-08-17,144.41,4474112
2021-08-18,142.18,4253385
2021-08-19,140.61,5122994
2021-08-20,142.09,3529987
2021-08-23,144.14,3955224
2021-08-24,144.46,3145786
2021-08-25,143.87,3016264
2021-08-26,142.38,3531917
2021-08-27,144.85,2705444
2021-08-30,145.94,3393297
2021-08-31,146.69,4221277
2021-09-01,146.45,4470175
2021-09-02,145.12,3751102
2021-09-03,144.63,3241976
2021-09-07,143.75,3216339
2021-09-08,142.52,3228050
2021-09-09,141.58,2574412
2021-09-10,142.68,3936315
2021-09-13,143.41,2522910
2021-09-14,141.14,3813300
2021-09-15,138.24,7242953
2021-09-16,138.4,4248642
2021-09-17,133.6,8940714
2021-09-20,132.76,5628565
2021-09-21,131.75,3725032
2021-09-22,133.01,3086324
2021-09-23,133.91,3522177
2021-09-24,133.88,2809061
2021-09-27,133.48,2497624
2021-09-28,129.9,5179112
2021-09-29,129.28,4278242
2021-09-30,128.98,3864576
2021-10-01,128.71,4040606
2021-10-04,126.68,5432986
2021-10-05,127.53,6092191
2021-10-06,128.06,4001313
2021-10-07,127.84,5721233
2021-10-08,126.55,3895047
2021-10-11,124.94,4210497
2021-10-12,122.95,6897492
2021-10-13,125.04,7422450
2021-10-14,128.66,7354086
2021-10-15,130.2,4904829
2021-10-18,130.12,3398321
2021-10-19,132.5,4631991
2021-10-20,132.16,3054357
2021-10-21,133.05,2616404
2021-10-22,131.62,3136911
2021-10-25,131.93,2851557
2021-10-26,131.94,3840593
2021-10-27,131.2,3119255
2021-10-28,133.69,3036096
2021-10-29,133.04,2949715
2021-11-01,134.81,3982369
2021-11-02,135.23,4237973
2021-11-03,138.48,7633363
2021-11-04,156.11,32458309
2021-11-05,163.03,18989114
2021-11-08,165.85,8680451
2021-11-09,166.74,7255434
2021-11-10,159.8,7048843
2021-11-11,164.42,4750245
