date,close,volume
2021-07-02,118.91,3816471
2021-07-06,120.05,5239113
2021-07-07,118.25,5127161
2021-07-08,117.87,5199815
2021-07-09,120.56,6244762
2021-07-12,122.63,8036419
2021-07-13,123.9,10252139
2021-07-14,124.39,8019082
2021-07-15,117.53,17428768
2021-07-16,115.74,8657753
2021-07-19,115.35,6181672
2021-07-20,116.4,5152318
2021-07-21,117.87,3859811
2021-07-22,116.56,4164619
2021-07-23,116.79,3961683
2021-07-26,115.65,4886349
2021-07-27,113.54,8534569
2021-07-28,115.07,5077063
2021-07-29,116.15,4906962
2021-07-30,116.64,4393715
2021-08-02,116.86,3901445
2021-08-03,118.41,4470728
2021-08-04,118.74,3020645
2021-08-05,119.22,2729742
2021-08-06,118.21,3052507
2021-08-09,118.22,3299126
2021-08-10,116.36,3803302
2021-08-11,115.99,3263093
2021-08-12,115.7,4159339
2021-08-13,115.5,3184866
2021-08-16,114.63,4188811
2021-08-17,111.11,10352833
2021-08-18,110.45,6434897
2021-08-19,110.52,8929308
2021-08-20,108.12,10109717
2021-08-23,110.96,6424497
2021-08-24,112.11,5081564
2021-08-25,117.03,18128988
2021-08-26,118.1,7703232
2021-08-27,118.49,5060738
2021-08-30,118.99,5063591
2021-08-31,119.01,5713438
2021-09-01,120.46,6556409
2021-09-02,120.79,5432083
2021-09-03,123.97,8017794
2021-09-07,124.7,6295181
2021-09-08,121.89,5743156
2021-09-09,122.68,3692504
2021-09-10,122.97,3374541
2021-09-13,123.62,4841163
2021-09-14,123.09,3612526
2021-09-15,121.5,3898307
2021-09-16,120.79,5448324
2021-09-17,117.75,6538141
2021-09-20,114.7,6251960
2021-09-21,114.96,4911040
2021-09-22,115.87,3573680
2021-09-23,116.19,3653373
2021-09-24,115.64,3178209
2021-09-27,116.15,3285628
2021-09-28,111.9,7020494
2021-09-29,111.62,3930779
2021-09-30,111.65,4266697
2021-10-01,111.56,3594890
2021-10-04,109.02,5623168
2021-10-05,109.26,6133616
2021-10-06,109.34,5323290
2021-10-07,110.83,5109387
2021-10-08,110.04,3705683
2021-10-11,110.26,3774056
2021-10-12,109.2,6780795
2021-10-13,109.98,5416426
2021-10-14,112.56,12782554
2021-10-15,114.86,7591110
2021-10-18,115.34,4295577
2021-10-19,116.96,3764015
2021-10-20,115.59,4666072
2021-10-21,116.29,2709720
2021-10-22,114.23,3742887
2021-10-25,113.64,3460315
2021-10-26,114.18,3278692
2021-10-27,113.75,3439273
2021-10-28,116.01,4009886
2021-10-29,113.7,4798128
2021-11-01,114.12,3476122
2021-11-02,114.11,3156852
2021-11-03,114.01,4244236
2021-11-04,117.79,10652673
2021-11-05,117.8,6004087
2021-11-08,120.91,11188556
2021-11-09,121.78,7108687
2021-11-10,118.2,6109646
2021-11-11,118.19,4631443
2021-11-12,118.69,4494578
2021-11-15,118.12,3273339
2021-11-16,118.08,3791987
2021-11-17,119.06,4631743
2021-11-18,123.39,9993776
2021-11-19,124.26,5685729
2021-11-22,124.75,11443298
2021-11-23,121.36,6860669
2021-11-24,120.71,4090680
2021-11-26,117.09,4083697
2021-11-29,119.28,4329349
2021-11-30,117.15,6377769
2021-12-01,120.63,9180408
2021-12-02,121.7,5805719
2021-12-03,119.33,5047219
2021-12-06,119.14,3955546
2021-12-07,122.32,4953591
2021-12-08,121.8,3905105
2021-12-09,119.5,3099777
2021-12-10,119.13,3249865
2021-12-13,116.42,3643965
2021-12-14,116.29,4193908
2021-12-15,120.4,4481108
2021-12-16,116.57,6263267
2021-12-17,116.32,5043248
2021-12-20,114.94,4931966
2021-12-21,117.44,3501923
2021-12-22,121.3,6490456
2021-12-23,120.68,4683507
2021-12-27,122.7,4378158
2021-12-28,122.06,3212992
2021-12-29,121.41,2892222
2021-12-30,120.42,2633501
2021-12-31,120.31,2439428
2022-01-03,128.8,12506551
2022-01-04,133.4,18553515
2022-01-05,127.06,12711705
2022-01-06,128.47,10809928
2022-01-07,123.5,16391176
2022-01-10,125.01,8624881
2022-01-11,129.17,8768853
2022-01-12,132.23,12118866
2022-01-13,139.19,41872740
2022-01-14,140.66,21027759
2022-01-18,133.83,10486280
2022-01-19,131.01,7410667
2022-01-20,128.33,8140079
2022-01-21,124.53,11334497
2022-01-24,125.96,11943447
2022-01-25,122.48,7453278
2022-01-26,123.08,8704634
2022-01-27,116.38,13652816
2022-01-28,117.61,9734079
2022-01-31,122.63,6150386
2022-02-01,123.05,4182955
2022-02-02,124.15,5838239
2022-02-03,119.84,6527320
2022-02-04,121.02,3704874
2022-02-07,122.31,4464714
2022-02-08,123.71,4490665
2022-02-09,125.52,7855399
2022-02-10,124.71,6718141
2022-02-11,121.01,6691238
2022-02-14,119.77,5607481
2022-02-15,124.52,5555423
2022-02-16,123.6,3179792
2022-02-17,119.76,5431517
2022-02-18,119.31,3843817
2022-02-22,116.91,6282276
2022-02-23,115.9,4503471
2022-02-24,111.88,19087094
2022-02-25,111.23,10356848
2022-02-28,107.01,20711995
2022-03-01,108.05,14933719
2022-03-02,109.61,9998414
2022-03-03,108.79,7383685
2022-03-04,105.06,12587938
2022-03-07,99.29,19983294
2022-03-08,100,14526484
2022-03-09,104.95,9159343
2022-03-10,103.96,8742804
2022-03-11,101.41,8849751
2022-03-14,99.3,12776319
2022-03-15,102.09,9378659
2022-03-16,105.69,14598958
2022-03-17,106.49,5624169
2022-03-18,106.72,7018776
2022-03-21,106.92,5980710
2022-03-22,107.04,4878811
2022-03-23,105.35,6092650
2022-03-24,107.92,7151872
2022-03-25,106.73,5346488
2022-03-28,106.33,5900775
2022-03-29,109.25,9538112
2022-03-30,106.73,7060271
2022-03-31,104.26,9289508
2022-04-01,102.79,8599364
2022-04-04,104.79,5933306
2022-04-05,102.5,6588245
2022-04-06,101.18,9566232
2022-04-07,100.52,6856120
2022-04-08,99.29,6531162
2022-04-11,97.57,6441322
2022-04-12,97.44,7460024
2022-04-13,101.5,10139453
2022-04-14,98.36,12098581
2022-04-18,98.77,5822133
2022-04-19,99.45,5707576
2022-04-20,99.01,5917072
2022-04-21,97.66,7697548
2022-04-22,95.68,6469732
2022-04-25,96.24,6186871
2022-04-26,92.77,7989806
2022-04-27,90.26,10680416
2022-04-28,95.22,11478188
2022-04-29,92.93,7007684
2022-05-02,93.76,5407128
2022-05-03,93.63,5598462
2022-05-04,95.99,6262980
2022-05-05,92.15,7194001
2022-05-06,91.63,5208750
2022-05-09,87.3,8027290
2022-05-10,88.82,7354760
2022-05-11,87.83,7829943
2022-05-12,87.69,7574621
2022-05-13,90.96,7830535
2022-05-16,90.41,3992273
2022-05-17,93.32,5373412
2022-05-18,90.53,6937165
2022-05-19,90.21,5687054
2022-05-20,90.78,6609215
2022-05-23,91.5,4352922
2022-05-24,88.72,6262496
2022-05-25,90.41,6683964
2022-05-26,91,7216566
2022-05-27,93.77,4034317
2022-05-31,95.3,6362051
2022-06-01,94.75,4439794
2022-06-02,96.34,4462258
2022-06-03,93.77,3916264
2022-06-06,93.11,4175034
2022-06-07,93.84,4269723
2022-06-08,93.47,4255671
2022-06-09,90.85,6155509
2022-06-10,88.68,7172809
2022-06-13,85.55,8959271
2022-06-14,87.19,6427937
