date,close,volume
2021-07-02,192.21,1164408
2021-07-06,191.2,1133209
2021-07-07,189.78,1350152
2021-07-08,188.24,1539953
2021-07-09,190.27,1214787
2021-07-12,191.92,1609601
2021-07-13,191.2,1147179
2021-07-14,191.28,1562188
2021-07-15,188.26,2162542
2021-07-16,186.12,2707197
2021-07-19,186.24,2145565
2021-07-20,187.77,1940583
2021-07-21,194.24,3001623
2021-07-22,183.91,8332348
2021-07-23,186.85,3479766
2021-07-26,188.26,1960510
2021-07-27,185.13,2700532
2021-07-28,186.85,1564635
2021-07-29,189.83,1689464
2021-07-30,190.62,1154920
2021-08-02,190.72,1622443
2021-08-03,189.34,2094940
2021-08-04,192.38,2011536
2021-08-05,193.16,1589483
2021-08-06,192.96,1120707
2021-08-09,190.45,1459420
2021-08-10,189.65,1425306
2021-08-11,189.5,1274068
2021-08-12,187.87,2018401
2021-08-13,188.7,1081744
2021-08-16,189.85,1073992
2021-08-17,186.32,1694427
2021-08-18,183.8,1547644
2021-08-19,185.04,1851800
2021-08-20,184.97,2032351
2021-08-23,187.85,1846865
2021-08-24,187.82,1656834
2021-08-25,188.09,1523235
2021-08-26,187.97,1471072
2021-08-27,190.52,1409591
2021-08-30,191.43,1137146
2021-08-31,190.91,1880731
2021-09-01,188.35,3011193
2021-09-02,189.41,1068322
2021-09-03,189.88,1101531
2021-09-07,189.46,1193072
2021-09-08,188.8,1043983
2021-09-09,188.47,891187
2021-09-10,190.65,1901719
2021-09-13,193.98,1733247
2021-09-14,195.11,1778667
2021-09-15,197.5,2087312
2021-09-16,196.82,1246255
2021-09-17,196.25,2455496
2021-09-20,192.59,2274019
2021-09-21,192.96,1545244
2021-09-22,195.92,1445917
2021-09-23,198.67,1372637
2021-09-24,200.65,1719697
2021-09-27,200.33,1372860
2021-09-28,194.89,2005712
2021-09-29,193.07,1919890
2021-09-30,192.21,1488071
2021-10-01,193.79,1456871
2021-10-04,190.4,1852591
2021-10-05,193.88,1696605
2021-10-06,194.39,1530940
2021-10-07,195.31,1460219
2021-10-08,195.24,1041998
2021-10-11,193.37,1178510
2021-10-12,188.48,2909154
2021-10-13,187.1,2096652
2021-10-14,192.49,1491068
2021-10-15,194.45,1513324
2021-10-18,194.91,1422149
2021-10-19,198.23,1475191
2021-10-20,199.38,1570874
2021-10-21,201.29,1442788
2021-10-22,199.07,1980557
2021-10-25,200.2,2005894
2021-10-26,196.98,3263032
2021-10-27,187.1,6897007
2021-10-28,187.87,2843156
2021-10-29,187.48,2008229
2021-11-01,187.47,2010254
2021-11-02,189.34,2369447
2021-11-03,189.19,1805707
2021-11-04,191.11,2687689
2021-11-05,193.4,2469052
2021-11-08,192.36,2466977
2021-11-09,190.79,2123267
2021-11-10,187.02,2161472
2021-11-11,188.6,1216957
2021-11-12,190.08,1443371
2021-11-15,189.23,1286611
2021-11-16,188.52,1517727
2021-11-17,189.57,2022836
2021-11-18,193.47,2310699
2021-11-19,195.16,2340445
2021-11-22,192.5,2230620
2021-11-23,192.64,2294759
2021-11-24,193.6,1648781
2021-11-26,188.26,1549421
2021-11-29,194.38,2061175
2021-11-30,192.37,2329996
2021-12-01,191.76,3010271
2021-12-02,193.58,2008645
2021-12-03,193.38,1929324
2021-12-06,194.61,1609602
2021-12-07,199.03,2312281
2021-12-08,196.39,2060307
2021-12-09,193.4,1541151
2021-12-10,196,1298282
2021-12-13,193.24,2676086
2021-12-14,190.27,3250776
2021-12-15,193.44,3242548
2021-12-16,188.24,2322290
2021-12-17,186.3,2904802
2021-12-20,184.24,2020526
2021-12-21,186.37,2077939
2021-12-22,186.93,1643851
2021-12-23,187.4,1277476
2021-12-27,191.84,1369088
2021-12-28,191.1,1193878
