date,close,volume
2021-07-02,26.95,1366297
2021-07-06,27.61,1180747
2021-07-07,27.03,1707144
2021-07-08,27.19,1310327
2021-07-09,27.39,693926
2021-07-12,27.43,770445
2021-07-13,27.25,867018
2021-07-14,26.66,1467454
2021-07-15,26.49,1883932
2021-07-16,26.56,776082
2021-07-19,26.63,1652271
2021-07-20,27.16,1552993
2021-07-21,27.66,1922473
2021-07-22,27.44,1480419
2021-07-23,27.74,767643
2021-07-26,27.51,958139
2021-07-27,27.67,1841883
2021-07-28,27.61,2313043
2021-07-29,28.13,2129465
2021-07-30,28.04,1513288
2021-08-02,27.73,1844503
2021-08-03,28,2544055
2021-08-04,27.62,1307319
2021-08-05,27.35,2218874
2021-08-06,27.26,1644076
2021-08-09,27.52,1906145
2021-08-10,27.03,1603935
2021-08-11,27.02,2648780
2021-08-12,27.46,2204350
2021-08-13,27.15,749647
2021-08-16,26.92,992192
2021-08-17,26.96,968905
2021-08-18,26.95,1117508
2021-08-19,26.59,1086209
2021-08-20,27.08,945617
2021-08-23,27.29,1130043
2021-08-24,27.52,997948
2021-08-25,27.67,1146529
2021-08-26,27.9,765661
2021-08-27,28.29,633757
2021-08-30,28.55,797563
2021-08-31,28.17,510134
2021-09-01,28.36,760621
2021-09-02,28.59,569597
2021-09-03,28.19,487015
2021-09-07,28.04,614298
2021-09-08,25.99,4261032
2021-09-09,25.07,4136278
2021-09-10,24.53,2992885
2021-09-13,23.97,3570734
2021-09-14,23.64,2474413
2021-09-15,23.55,2063665
2021-09-16,24,1896859
2021-09-17,23.73,2266782
2021-09-20,23.86,2421976
2021-09-21,23.69,1580320
2021-09-22,24,1276863
2021-09-23,24.11,3046974
2021-09-24,23.83,1560079
2021-09-27,24.15,1993710
2021-09-28,23.68,2061391
2021-09-29,24.28,2542469
2021-09-30,24.09,2641735
2021-10-01,24.54,2886144
2021-10-04,23.76,2087742
2021-10-05,23.13,2544082
2021-10-06,23.07,1412519
2021-10-07,23.12,1037203
2021-10-08,22.43,1738598
2021-10-11,22.27,2004184
2021-10-12,21.71,2490729
2021-10-13,21.86,3910662
2021-10-14,22.86,2585965
2021-10-15,22.92,1555775
2021-10-18,23.22,1458367
2021-10-19,23.38,1363065
2021-10-20,23.47,920282
2021-10-21,23.8,1139223
2021-10-22,24.07,1922678
2021-10-25,24.21,1105725
2021-10-26,24.05,1544878
2021-10-27,24.69,3498726
2021-10-28,25.7,3041624
2021-10-29,25.68,1594548
2021-11-01,26.05,2615630
2021-11-02,25.15,9094005
2021-11-03,25.81,5534939
2021-11-04,26.95,3309750
2021-11-05,27.63,3884961
2021-11-08,27.54,2262981
2021-11-09,26.97,1237475
2021-11-10,26.66,1181426
2021-11-11,26.7,1341487
2021-11-12,26.71,1092331
2021-11-15,26.92,1270871
2021-11-16,26.84,1164540
2021-11-17,26.76,596370
2021-11-18,26.59,1233579
2021-11-19,26.98,1096331
